,Lineup
1070,"['Dinelson Lamet (15257959)', 'Max Scherzer (15257957)', 'Yasmani Grandal (15258024)', 'Luke Voit (15258071)', 'Kevin Newman (15258129)', 'Josh Donaldson (15258175)', 'Kevin Newman (15258129)', 'Hunter Renfroe (15258151)', 'Christian Yelich (15258006)', 'Daulton Varsho (15258498)']"
1071,"['Kyle Hendricks (15257963)', 'Max Scherzer (15257957)', 'Roberto Perez (15258281)', 'Bobby Dalbec (15258279)', 'Michael Chavis (15258110)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Adam Frazier (15258194)', 'Christian Yelich (15258006)', 'Max Kepler (15258061)']"
1072,"['Dinelson Lamet (15257959)', 'Triston McKenzie (15257970)', 'J.T. Realmuto (15258010)', 'Jose Martinez (15259170)', 'Adam Frazier (15258194)', 'DJ LeMahieu (15258035)', 'Javier Baez (15258058)', 'Mike Tauchman (15258190)', 'Victor Reyes (15258186)', 'Mike Trout (15257980)']"
1073,"['Dinelson Lamet (15257959)', 'Charlie Morton (15257964)', 'Roberto Perez (15258281)', 'Mitch Moreland (15258080)', 'Jake Cronenworth (15258100)', 'Maikel Franco (15258137)', 'Trea Turner (15257986)', 'Franmil Reyes (15258094)', 'Hunter Renfroe (15258151)', 'Christian Yelich (15258006)']"
1074,"['Walker Buehler (15258586)', 'Jose Berrios (15257965)', 'Daulton Varsho (15258498)', 'Michael Chavis (15258110)', 'Keston Hiura (15258000)', 'Anthony Rendon (15258005)', 'Javier Baez (15258058)', 'Tyler Naquin (15258296)', 'Adam Frazier (15258194)', 'J.D. Martinez (15258003)']"
1075,"['Dinelson Lamet (15257959)', 'Walker Buehler (15258586)', 'Omar Narvaez (15258140)', 'Josh Bell (15258155)', 'Keston Hiura (15258000)', 'Bobby Dalbec (15258279)', 'Francisco Lindor (15258007)', 'Eddie Rosario (15258085)', 'Randy Arozarena (15258226)', 'Victor Reyes (15258186)']"
1076,"['Adrian Houser (15258614)', 'Walker Buehler (15258586)', 'Roberto Perez (15258281)', 'Luke Voit (15258071)', 'Michael Chavis (15258110)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Trent Grisham (15258083)', 'Christian Yelich (15258006)', 'Alex Gordon (15258463)']"
1077,"['Jordan Montgomery (15257966)', 'Jose Berrios (15257965)', 'Willson Contreras (15258020)', 'Shohei Ohtani (15258029)', 'Keston Hiura (15258000)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Max Kepler (15258061)', 'Jose Peraza (15258324)', 'Ian Happ (15258086)']"
1078,"['Dinelson Lamet (15257959)', 'Adrian Houser (15258614)', 'Yasmani Grandal (15258024)', 'Carlos Santana (15258097)', 'Tyler Wade (15258388)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Ian Happ (15258086)', 'Trent Grisham (15258083)', 'Gregory Polanco (15258267)']"
1079,"['Dinelson Lamet (15257959)', 'Triston McKenzie (15257970)', 'Willson Contreras (15258020)', 'Shohei Ohtani (15258029)', 'Jonathan Schoop (15258064)', 'Josh Donaldson (15258175)', 'Francisco Lindor (15258007)', 'Daulton Varsho (15258498)', 'J.D. Martinez (15258003)', 'Jorge Soler (15258074)']"
1080,"['Max Scherzer (15257957)', 'Adrian Houser (15258614)', 'Willson Contreras (15258020)', 'Bobby Dalbec (15258279)', 'Cesar Hernandez (15258088)', 'Josh Donaldson (15258175)', 'Xander Bogaerts (15258001)', 'Shohei Ohtani (15258029)', 'Victor Robles (15258396)', 'Eddie Rosario (15258085)']"
1081,"['Walker Buehler (15258586)', 'Kyle Hendricks (15257963)', 'Daulton Varsho (15258498)', 'Carlos Santana (15258097)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'AJ Pollock (15258091)', 'Christian Yelich (15258006)', 'Victor Robles (15258396)']"
1082,"['Kyle Hendricks (15257963)', 'Max Scherzer (15257957)', 'Austin Romine (15258143)', 'Josh Bell (15258155)', 'Adam Frazier (15258194)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Ian Happ (15258086)', 'Victor Reyes (15258186)', 'Trent Grisham (15258083)']"
1083,"['Dinelson Lamet (15257959)', 'Max Scherzer (15257957)', 'Roberto Perez (15258281)', 'Michael Chavis (15258110)', 'DJ LeMahieu (15258035)', 'Bobby Dalbec (15258279)', 'Javier Baez (15258058)', 'Adam Frazier (15258194)', 'Ian Happ (15258086)', 'Christian Yelich (15258006)']"
1084,"['Jose Berrios (15257965)', 'Kyle Hendricks (15257963)', 'Roberto Perez (15258281)', 'Michael Chavis (15258110)', 'Michael Chavis (15258110)', 'Manny Machado (15258022)', 'Adalberto Mondesi (15258218)', 'Trent Grisham (15258083)', 'Juan Soto (15257981)', 'Christian Yelich (15258006)']"
1085,"['Jose Berrios (15257965)', 'Triston McKenzie (15257970)', 'Willson Contreras (15258020)', 'Justin Smoak (15258112)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Trea Turner (15257986)', 'Christian Yelich (15258006)', 'Tyler Naquin (15258296)', 'Jorge Soler (15258074)']"
1086,"['Max Scherzer (15257957)', 'Adrian Houser (15258614)', 'Jacob Stallings (15258258)', 'Mitch Moreland (15258080)', 'Luis Urias (15258105)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Ian Happ (15258086)', 'Christian Yelich (15258006)', 'Trent Grisham (15258083)']"
1087,"['Jose Berrios (15257965)', 'Walker Buehler (15258586)', 'Willson Contreras (15258020)', 'Shohei Ohtani (15258029)', 'Jose Peraza (15258324)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Trent Grisham (15258083)', 'Eddie Rosario (15258085)', 'Daulton Varsho (15258498)']"
1088,"['Max Scherzer (15257957)', 'Adrian Houser (15258614)', 'Kurt Suzuki (15258087)', 'Eric Hosmer (15258062)', 'Tyler Wade (15258388)', 'Jose Ramirez (15258011)', 'Tyler Wade (15258388)', 'Christian Yelich (15258006)', 'Jurickson Profar (15258158)', 'Max Kepler (15258061)']"
1089,"['Max Scherzer (15257957)', 'Jose Berrios (15257965)', 'Roberto Perez (15258281)', 'Bobby Dalbec (15258279)', 'Keston Hiura (15258000)', 'DJ LeMahieu (15258035)', 'Javier Baez (15258058)', 'Juan Soto (15257981)', 'Wil Myers (15258127)', 'Hunter Renfroe (15258151)']"
1090,"['Max Scherzer (15257957)', 'Kyle Hendricks (15257963)', 'Kurt Suzuki (15258087)', 'Luke Voit (15258071)', 'Jake Cronenworth (15258100)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Josh Naylor (15258539)', 'Franmil Reyes (15258094)', 'Trent Grisham (15258083)']"
1091,"['Jose Berrios (15257965)', 'Dinelson Lamet (15257959)', 'Roberto Perez (15258281)', 'Anthony Rizzo (15258004)', 'DJ LeMahieu (15258035)', 'DJ LeMahieu (15258035)', 'Javier Baez (15258058)', 'Daulton Varsho (15258498)', 'Victor Reyes (15258186)', 'Christian Yelich (15258006)']"
1092,"['Jordan Montgomery (15257966)', 'Max Scherzer (15257957)', 'Willson Contreras (15258020)', 'Mitch Moreland (15258080)', 'Cesar Hernandez (15258088)', 'Bobby Dalbec (15258279)', 'Javier Baez (15258058)', 'Ian Happ (15258086)', 'Trent Grisham (15258083)', 'Byron Buxton (15258139)']"
1093,"['Max Scherzer (15257957)', 'Triston McKenzie (15257970)', 'Willson Contreras (15258020)', 'Eric Hosmer (15258062)', 'DJ LeMahieu (15258035)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Tyler Naquin (15258296)', 'Avisail Garcia (15258163)', 'Victor Reyes (15258186)']"
1094,"['Max Scherzer (15257957)', 'Triston McKenzie (15257970)', 'Yasmani Grandal (15258024)', 'Justin Smoak (15258112)', 'Keston Hiura (15258000)', 'Bobby Dalbec (15258279)', 'Javier Baez (15258058)', 'Juan Soto (15257981)', 'Manuel Margot (15258268)', 'Trent Grisham (15258083)']"
1095,"['Jose Berrios (15257965)', 'Kyle Hendricks (15257963)', 'Omar Narvaez (15258140)', 'Bobby Dalbec (15258279)', 'Jonathan Schoop (15258064)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Christian Yelich (15258006)', 'Mike Trout (15257980)', 'Aaron Hicks (15258148)']"
1096,"['Adrian Houser (15258614)', 'Jordan Montgomery (15257966)', 'Willson Contreras (15258020)', 'Eric Hosmer (15258062)', 'Adam Frazier (15258194)', 'Manny Machado (15258022)', 'Francisco Lindor (15258007)', 'J.D. Martinez (15258003)', 'Trent Grisham (15258083)', 'Brett Gardner (15258231)']"
1097,"['Adrian Houser (15258614)', 'Zack Wheeler (15257960)', 'Omar Narvaez (15258140)', 'Eric Hosmer (15258062)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Daulton Varsho (15258498)', 'Ian Happ (15258086)', 'Christian Yelich (15258006)']"
1098,"['Jose Berrios (15257965)', 'Jordan Montgomery (15257966)', 'Yasmani Grandal (15258024)', 'Luke Voit (15258071)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Cody Bellinger (15257984)', 'Jose Peraza (15258324)', 'Ian Happ (15258086)']"
1099,"['Triston McKenzie (15257970)', 'Walker Buehler (15258586)', 'Gary Sanchez (15258079)', 'Cody Bellinger (15257984)', 'Jose Peraza (15258324)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Franmil Reyes (15258094)', 'Trent Grisham (15258083)', 'Max Kepler (15258061)']"
1100,"['Adrian Houser (15258614)', 'Walker Buehler (15258586)', 'Willson Contreras (15258020)', 'Shohei Ohtani (15258029)', 'Jake Cronenworth (15258100)', 'Bobby Dalbec (15258279)', 'Francisco Lindor (15258007)', 'Victor Reyes (15258186)', 'Jurickson Profar (15258158)', 'Ian Happ (15258086)']"
1101,"['Triston McKenzie (15257970)', 'Adrian Houser (15258614)', 'Austin Romine (15258143)', 'Eric Hosmer (15258062)', 'Ketel Marte (15257987)', 'Josh Donaldson (15258175)', 'Francisco Lindor (15258007)', 'Trent Grisham (15258083)', 'Eddie Rosario (15258085)', 'Shohei Ohtani (15258029)']"
1102,"['Triston McKenzie (15257970)', 'Max Scherzer (15257957)', 'Willson Contreras (15258020)', 'Carlos Santana (15258097)', 'DJ LeMahieu (15258035)', 'Manny Machado (15258022)', 'Tim Anderson (15257991)', 'Avisail Garcia (15258163)', 'Jose Peraza (15258324)', 'Tyler Naquin (15258296)']"
1103,"['Jose Berrios (15257965)', 'Walker Buehler (15258586)', 'Jacob Stallings (15258258)', 'Howie Kendrick (15258070)', 'DJ LeMahieu (15258035)', 'Manny Machado (15258022)', 'Trea Turner (15257986)', 'Eddie Rosario (15258085)', 'Trent Grisham (15258083)', 'Jose Peraza (15258324)']"
1104,"['Jordan Montgomery (15257966)', 'Jose Berrios (15257965)', 'Willson Contreras (15258020)', 'Eric Hosmer (15258062)', 'Keston Hiura (15258000)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Tyler Naquin (15258296)', 'J.D. Martinez (15258003)', 'Max Kepler (15258061)']"
1105,"['Max Scherzer (15257957)', 'Jose Berrios (15257965)', 'Daulton Varsho (15258498)', 'Carlos Santana (15258097)', 'Luis Urias (15258105)', 'Jose Ramirez (15258011)', 'Adalberto Mondesi (15258218)', 'Christian Yelich (15258006)', 'Ian Happ (15258086)', 'Trent Grisham (15258083)']"
1106,"['Jose Berrios (15257965)', 'Dinelson Lamet (15257959)', 'Willson Contreras (15258020)', 'Mitch Moreland (15258080)', 'Kevin Newman (15258129)', 'Max Muncy (15257988)', 'Javier Baez (15258058)', 'Trent Grisham (15258083)', 'Wil Myers (15258127)', 'Daulton Varsho (15258498)']"
1107,"['Jordan Montgomery (15257966)', 'Max Scherzer (15257957)', 'Gary Sanchez (15258079)', 'Josh Bell (15258155)', 'Keston Hiura (15258000)', 'Jose Ramirez (15258011)', 'Adalberto Mondesi (15258218)', 'Christian Yelich (15258006)', 'Franmil Reyes (15258094)', 'Jose Peraza (15258324)']"
1108,"['Max Scherzer (15257957)', 'Dinelson Lamet (15257959)', 'Omar Narvaez (15258140)', 'Carlos Santana (15258097)', 'Adam Frazier (15258194)', 'Jose Ramirez (15258011)', 'Jorge Polanco (15258025)', 'Nomar Mazara (15258349)', 'Manuel Margot (15258268)', 'Ian Happ (15258086)']"
1109,"['Dinelson Lamet (15257959)', 'Jose Berrios (15257965)', 'Omar Narvaez (15258140)', 'Bobby Dalbec (15258279)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Randy Arozarena (15258226)', 'Shohei Ohtani (15258029)', 'Cody Bellinger (15257984)']"
1110,"['Max Scherzer (15257957)', 'Triston McKenzie (15257970)', 'Willson Contreras (15258020)', 'Max Muncy (15257988)', 'Cesar Hernandez (15258088)', 'Josh Donaldson (15258175)', 'Willy Adames (15258089)', 'Avisail Garcia (15258163)', 'Nomar Mazara (15258349)', 'Juan Soto (15257981)']"
1111,"['Jose Berrios (15257965)', 'Kyle Hendricks (15257963)', 'Willson Contreras (15258020)', 'Eric Hosmer (15258062)', 'Adam Frazier (15258194)', 'Manny Machado (15258022)', 'Kevin Newman (15258129)', 'Franmil Reyes (15258094)', 'Shohei Ohtani (15258029)', 'Ian Happ (15258086)']"
1112,"['Kyle Hendricks (15257963)', 'Max Scherzer (15257957)', 'Willson Contreras (15258020)', 'Jose Martinez (15259170)', 'Tyler Wade (15258388)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Trent Grisham (15258083)', 'Jose Peraza (15258324)', 'Victor Reyes (15258186)']"
1113,"['Jose Berrios (15257965)', 'Triston McKenzie (15257970)', 'Daulton Varsho (15258498)', 'Max Muncy (15257988)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Christian Yelich (15258006)', 'Cody Bellinger (15257984)', 'Hunter Renfroe (15258151)']"
1114,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Yasmani Grandal (15258024)', 'Josh Bell (15258155)', 'Cesar Hernandez (15258088)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Jorge Soler (15258074)', 'Tyler Naquin (15258296)', 'Christian Yelich (15258006)']"
1115,"['Dinelson Lamet (15257959)', 'Jordan Montgomery (15257966)', 'Gary Sanchez (15258079)', 'Cody Bellinger (15257984)', 'Jonathan Schoop (15258064)', 'Luis Urias (15258105)', 'Jorge Polanco (15258025)', 'Franmil Reyes (15258094)', 'Jose Peraza (15258324)', 'Randy Arozarena (15258226)']"
1116,"['Max Scherzer (15257957)', 'Walker Buehler (15258586)', 'Omar Narvaez (15258140)', 'Eric Hosmer (15258062)', 'Tyler Wade (15258388)', 'Josh Donaldson (15258175)', 'Trea Turner (15257986)', 'Tyler Naquin (15258296)', 'Alex Verdugo (15258039)', 'Victor Reyes (15258186)']"
1117,"['Walker Buehler (15258586)', 'Max Scherzer (15257957)', 'Roberto Perez (15258281)', 'Eric Hosmer (15258062)', 'Jake Cronenworth (15258100)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Jose Martinez (15259170)', 'Jurickson Profar (15258158)', 'Jay Bruce (15258298)']"
1118,"['Jordan Montgomery (15257966)', 'Dinelson Lamet (15257959)', 'J.T. Realmuto (15258010)', 'Josh Bell (15258155)', 'Keston Hiura (15258000)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'J.D. Martinez (15258003)', 'Randy Arozarena (15258226)', 'Hunter Renfroe (15258151)']"
1119,"['Walker Buehler (15258586)', 'Kyle Hendricks (15257963)', 'Roberto Perez (15258281)', 'Shohei Ohtani (15258029)', 'Jonathan Schoop (15258064)', ""Ke'Bryan Hayes (15258566)"", 'Javier Baez (15258058)', 'Mike Trout (15257980)', 'Victor Reyes (15258186)', 'Trent Grisham (15258083)']"
1120,"['Walker Buehler (15258586)', 'Adrian Houser (15258614)', 'Austin Romine (15258143)', 'Eric Hosmer (15258062)', 'DJ LeMahieu (15258035)', 'Luis Urias (15258105)', 'Corey Seager (15257993)', 'Christian Yelich (15258006)', 'Jay Bruce (15258298)', 'Daulton Varsho (15258498)']"
1121,"['Adrian Houser (15258614)', 'Max Scherzer (15257957)', 'Gary Sanchez (15258079)', 'Mitch Moreland (15258080)', 'Luis Urias (15258105)', 'Jose Ramirez (15258011)', 'Didi Gregorius (15258059)', 'Jose Martinez (15259170)', 'Jurickson Profar (15258158)', 'Gregory Polanco (15258267)']"
1122,"['Max Scherzer (15257957)', 'Jose Berrios (15257965)', 'Cam Gallagher (15258439)', 'Mitch Moreland (15258080)', 'Jonathan Schoop (15258064)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Wil Myers (15258127)', 'Alex Gordon (15258463)', 'Juan Soto (15257981)']"
1123,"['Adrian Houser (15258614)', 'Max Scherzer (15257957)', 'Yasmani Grandal (15258024)', 'Howie Kendrick (15258070)', 'Cesar Hernandez (15258088)', 'Luis Urias (15258105)', 'Kevin Newman (15258129)', 'Bryce Harper (15257979)', 'Victor Robles (15258396)', 'Daulton Varsho (15258498)']"
1124,"['Jose Berrios (15257965)', 'Walker Buehler (15258586)', 'Willson Contreras (15258020)', 'Bobby Dalbec (15258279)', 'Luis Urias (15258105)', 'Josh Donaldson (15258175)', 'Francisco Lindor (15258007)', 'Aaron Hicks (15258148)', 'Christian Yelich (15258006)', 'Ian Happ (15258086)']"
1125,"['Max Scherzer (15257957)', 'Kyle Hendricks (15257963)', 'Daulton Varsho (15258498)', 'Mitch Moreland (15258080)', 'Jake Cronenworth (15258100)', 'Bobby Dalbec (15258279)', 'Trea Turner (15257986)', 'J.D. Martinez (15258003)', 'Christian Yelich (15258006)', 'Adam Frazier (15258194)']"
1126,"['Dinelson Lamet (15257959)', 'Kyle Hendricks (15257963)', 'Gary Sanchez (15258079)', 'Carlos Santana (15258097)', 'Kevin Newman (15258129)', 'Josh Donaldson (15258175)', 'Francisco Lindor (15258007)', 'Juan Soto (15257981)', 'Jose Peraza (15258324)', 'Gregory Polanco (15258267)']"
1127,"['Adrian Houser (15258614)', 'Jose Berrios (15257965)', 'Omar Narvaez (15258140)', 'Jose Martinez (15259170)', 'Luis Urias (15258105)', 'Jose Ramirez (15258011)', 'Kevin Newman (15258129)', 'Trent Grisham (15258083)', 'Jorge Soler (15258074)', 'Juan Soto (15257981)']"
1128,"['Max Scherzer (15257957)', 'Triston McKenzie (15257970)', 'Yasmani Grandal (15258024)', 'Shohei Ohtani (15258029)', 'Cesar Hernandez (15258088)', 'Manny Machado (15258022)', 'Francisco Lindor (15258007)', 'Trent Grisham (15258083)', 'Victor Robles (15258396)', 'Franmil Reyes (15258094)']"
1129,"['Dinelson Lamet (15257959)', 'Adrian Houser (15258614)', 'Daulton Varsho (15258498)', 'Josh Bell (15258155)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Trea Turner (15257986)', 'Trent Grisham (15258083)', 'Tyler Naquin (15258296)', 'Max Kepler (15258061)']"
1130,"['Walker Buehler (15258586)', 'Triston McKenzie (15257970)', 'J.T. Realmuto (15258010)', 'Josh Bell (15258155)', 'Jonathan Schoop (15258064)', 'Josh Donaldson (15258175)', 'Trea Turner (15257986)', 'Christian Yelich (15258006)', 'Eddie Rosario (15258085)', 'Josh Naylor (15258539)']"
1131,"['Max Scherzer (15257957)', 'Triston McKenzie (15257970)', 'Willson Contreras (15258020)', 'Bobby Dalbec (15258279)', 'Adam Frazier (15258194)', 'Maikel Franco (15258137)', 'Adalberto Mondesi (15258218)', 'Mike Trout (15257980)', 'Aaron Hicks (15258148)', 'Mookie Betts (15257977)']"
1132,"['Walker Buehler (15258586)', 'Jose Berrios (15257965)', 'Yasmani Grandal (15258024)', 'Shohei Ohtani (15258029)', 'Adam Frazier (15258194)', 'Josh Donaldson (15258175)', 'Tyler Wade (15258388)', 'Shohei Ohtani (15258029)', 'Ian Happ (15258086)', 'J.D. Martinez (15258003)']"
1133,"['Walker Buehler (15258586)', 'Kyle Hendricks (15257963)', 'J.T. Realmuto (15258010)', 'Justin Smoak (15258112)', 'Adam Frazier (15258194)', 'DJ LeMahieu (15258035)', 'Javier Baez (15258058)', 'Adam Frazier (15258194)', 'Tyler Naquin (15258296)', 'Christian Yelich (15258006)']"
1134,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Omar Narvaez (15258140)', 'Carlos Santana (15258097)', 'Keston Hiura (15258000)', 'Luis Urias (15258105)', 'Javier Baez (15258058)', 'Jurickson Profar (15258158)', 'Victor Reyes (15258186)', 'Trent Grisham (15258083)']"
1135,"['Jose Berrios (15257965)', 'Dinelson Lamet (15257959)', 'Gary Sanchez (15258079)', 'Howie Kendrick (15258070)', 'Adam Frazier (15258194)', 'Manny Machado (15258022)', 'Francisco Lindor (15258007)', 'Christian Yelich (15258006)', 'Wil Myers (15258127)', 'Delino DeShields (15258515)']"
1136,"['Dinelson Lamet (15257959)', 'Spencer Turnbull (15258611)', 'Omar Narvaez (15258140)', 'Luke Voit (15258071)', 'Michael Chavis (15258110)', 'Jose Ramirez (15258011)', 'Adalberto Mondesi (15258218)', 'Shohei Ohtani (15258029)', 'Trent Grisham (15258083)', 'Wil Myers (15258127)']"
1137,"['Max Scherzer (15257957)', 'Adrian Houser (15258614)', 'Austin Romine (15258143)', 'Bobby Dalbec (15258279)', 'DJ LeMahieu (15258035)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'J.D. Martinez (15258003)', 'Franmil Reyes (15258094)', 'Jay Bruce (15258298)']"
1138,"['Adrian Houser (15258614)', 'Max Scherzer (15257957)', 'Yasmani Grandal (15258024)', 'Carlos Santana (15258097)', 'Jake Cronenworth (15258100)', 'Josh Donaldson (15258175)', 'Jorge Polanco (15258025)', 'J.D. Martinez (15258003)', 'Daulton Varsho (15258498)', 'Tyler Naquin (15258296)']"
1139,"['Max Scherzer (15257957)', 'Jose Berrios (15257965)', 'Willson Contreras (15258020)', 'Carlos Santana (15258097)', 'Jonathan Schoop (15258064)', 'Luis Urias (15258105)', 'Trea Turner (15257986)', 'Aaron Hicks (15258148)', 'Trent Grisham (15258083)', 'Daulton Varsho (15258498)']"
1140,"['Spencer Turnbull (15258611)', 'Adrian Houser (15258614)', 'Willson Contreras (15258020)', 'Mitch Moreland (15258080)', 'Cesar Hernandez (15258088)', 'Josh Donaldson (15258175)', 'Xander Bogaerts (15258001)', 'Jose Peraza (15258324)', 'Max Kepler (15258061)', 'Jose Martinez (15259170)']"
1141,"['Dinelson Lamet (15257959)', 'Adrian Houser (15258614)', 'Willson Contreras (15258020)', 'Cody Bellinger (15257984)', 'Luis Urias (15258105)', 'Bobby Dalbec (15258279)', 'Tyler Wade (15258388)', 'Trent Grisham (15258083)', 'Victor Robles (15258396)', 'Mike Trout (15257980)']"
1142,"['Dinelson Lamet (15257959)', 'Jose Berrios (15257965)', 'Daulton Varsho (15258498)', 'Michael Chavis (15258110)', 'Ketel Marte (15257987)', 'DJ LeMahieu (15258035)', 'Xander Bogaerts (15258001)', 'Christian Yelich (15258006)', 'Victor Reyes (15258186)', 'Jay Bruce (15258298)']"
1143,"['Triston McKenzie (15257970)', 'Adrian Houser (15258614)', 'Yasmani Grandal (15258024)', 'Eric Hosmer (15258062)', 'Cesar Hernandez (15258088)', 'Yoan Moncada (15257995)', 'Trea Turner (15257986)', 'Max Kepler (15258061)', 'Trent Grisham (15258083)', 'Randy Arozarena (15258226)']"
1144,"['Triston McKenzie (15257970)', 'Walker Buehler (15258586)', 'Kurt Suzuki (15258087)', 'Shohei Ohtani (15258029)', 'Jose Peraza (15258324)', 'Yoan Moncada (15257995)', 'Javier Baez (15258058)', 'Daulton Varsho (15258498)', 'J.D. Martinez (15258003)', 'Shohei Ohtani (15258029)']"
1145,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Gary Sanchez (15258079)', 'Cody Bellinger (15257984)', 'Jake Cronenworth (15258100)', 'Josh Donaldson (15258175)', 'Tyler Wade (15258388)', 'J.D. Martinez (15258003)', 'Trent Grisham (15258083)', 'Wil Myers (15258127)']"
1146,"['Max Scherzer (15257957)', 'Adrian Houser (15258614)', 'Omar Narvaez (15258140)', 'Michael Chavis (15258110)', 'Adam Frazier (15258194)', 'Manny Machado (15258022)', 'Kevin Newman (15258129)', 'Jay Bruce (15258298)', 'Shohei Ohtani (15258029)', 'Cody Bellinger (15257984)']"
1147,"['Max Scherzer (15257957)', 'Kyle Hendricks (15257963)', 'Daulton Varsho (15258498)', 'Eric Hosmer (15258062)', 'Luis Urias (15258105)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Jurickson Profar (15258158)', 'Christian Yelich (15258006)', 'Aaron Hicks (15258148)']"
1148,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Daulton Varsho (15258498)', 'Eric Hosmer (15258062)', 'Jake Cronenworth (15258100)', 'Jose Ramirez (15258011)', 'Corey Seager (15257993)', 'Avisail Garcia (15258163)', 'Max Kepler (15258061)', 'Ian Happ (15258086)']"
1149,"['Adrian Houser (15258614)', 'Triston McKenzie (15257970)', 'Gary Sanchez (15258079)', 'Shohei Ohtani (15258029)', 'Jose Peraza (15258324)', 'Manny Machado (15258022)', 'Trea Turner (15257986)', 'Ian Happ (15258086)', 'J.D. Martinez (15258003)', 'Avisail Garcia (15258163)']"
1150,"['Dinelson Lamet (15257959)', 'Triston McKenzie (15257970)', 'Omar Narvaez (15258140)', 'Carlos Santana (15258097)', 'Adam Frazier (15258194)', 'Jose Ramirez (15258011)', 'Trea Turner (15257986)', 'Max Kepler (15258061)', 'Juan Soto (15257981)', 'Delino DeShields (15258515)']"
1151,"['Kyle Hendricks (15257963)', 'Triston McKenzie (15257970)', 'Yasmani Grandal (15258024)', 'Eric Hosmer (15258062)', 'Adam Frazier (15258194)', 'Josh Donaldson (15258175)', 'Kevin Newman (15258129)', 'Alex Verdugo (15258039)', 'Christian Yelich (15258006)', 'Mookie Betts (15257977)']"
1152,"['Dinelson Lamet (15257959)', 'Triston McKenzie (15257970)', 'Gary Sanchez (15258079)', 'Mitch Moreland (15258080)', 'DJ LeMahieu (15258035)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Trent Grisham (15258083)', 'Max Kepler (15258061)', 'Jackie Bradley Jr. (15258242)']"
1153,"['Triston McKenzie (15257970)', 'Max Scherzer (15257957)', 'Omar Narvaez (15258140)', 'Max Muncy (15257988)', 'Cesar Hernandez (15258088)', 'Josh Donaldson (15258175)', 'Xander Bogaerts (15258001)', 'Mike Trout (15257980)', 'Delino DeShields (15258515)', 'Victor Reyes (15258186)']"
1154,"['Triston McKenzie (15257970)', 'Walker Buehler (15258586)', 'Gary Sanchez (15258079)', 'Eric Hosmer (15258062)', 'Luis Urias (15258105)', 'DJ LeMahieu (15258035)', 'Corey Seager (15257993)', 'Christian Yelich (15258006)', 'Victor Robles (15258396)', 'Jurickson Profar (15258158)']"
1155,"['Dinelson Lamet (15257959)', 'Jose Berrios (15257965)', 'Omar Narvaez (15258140)', 'Josh Bell (15258155)', 'Jose Peraza (15258324)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Tyler Naquin (15258296)', 'Franmil Reyes (15258094)', 'Juan Soto (15257981)']"
1156,"['Kyle Hendricks (15257963)', 'Jose Berrios (15257965)', 'Jacob Stallings (15258258)', 'Eric Hosmer (15258062)', 'DJ LeMahieu (15258035)', 'DJ LeMahieu (15258035)', 'Trea Turner (15257986)', 'Christian Yelich (15258006)', 'Aaron Hicks (15258148)', 'Jurickson Profar (15258158)']"
